,STRUCTURE_NUMBER_008,Year,LAT_016,LONG_017,YEAR_BUILT_027,DECK_COND_058,DECK_STRUCTURE_TYPE_107
226,000000001001520,2019,42500160.0,78511416.0,1991.0,7,1
227,000000001001520,2020,42500160.0,78511416.0,1991.0,7,1
228,000000001001520,2021,42500160.0,78511416.0,1991.0,7,1
229,000000001001520,2022,42500160.0,78511416.0,1991.0,7,1
230,000000001001520,2023,42500160.0,78511416.0,1991.0,7,1
231,000000001002850,1992,42533000.0,74305400.0,1931.0,4,1
232,000000001002850,1993,42533000.0,74305400.0,1931.0,4,1
233,000000001002850,1994,42533000.0,74305400.0,1931.0,4,1
234,000000001002850,1995,42533000.0,74305400.0,1931.0,4,1
235,000000001002850,1996,42533000.0,74305400.0,1931.0,4,1
236,000000001002850,1997,42533000.0,74305400.0,1931.0,4,1
237,000000001002850,1998,42533000.0,74305400.0,1931.0,4,1
238,000000001002850,1999,42533000.0,74305400.0,1931.0,4,1
239,000000001002850,2000,42533000.0,74305400.0,1931.0,4,1
240,000000001002850,2001,42533000.0,74305400.0,1931.0,4,1
241,000000001002850,2002,42533000.0,74305400.0,1931.0,4,1
242,000000001002850,2003,42533000.0,74305400.0,1931.0,4,1
243,000000001002850,2004,42532866.0,74305081.0,1931.0,4,1
244,000000001002850,2005,42532866.0,74305081.0,1931.0,4,1
245,000000001002850,2006,42532866.0,74305081.0,1931.0,4,1
246,000000001002850,2007,42532866.0,74305081.0,1931.0,4,1
247,000000001002850,2008,42532866.0,74305081.0,1931.0,4,1
248,000000001002850,2009,42532866.0,74305081.0,1931.0,4,1
249,000000001003180,1992,41223000.0,74174200.0,1954.0,8,1
250,000000001003180,1993,41223000.0,74174200.0,1954.0,8,1
251,000000001003180,1994,41223000.0,74174200.0,1954.0,8,1
252,000000001003180,1995,41223000.0,74174200.0,1954.0,8,1
253,000000001003180,1996,41223000.0,74174200.0,1954.0,8,1
254,000000001003180,1997,41223000.0,74174200.0,1954.0,8,1
255,000000001003180,1998,41223000.0,74174200.0,1954.0,7,1
256,000000001003180,1999,41223000.0,74174200.0,1954.0,7,1
257,000000001003180,2000,41223000.0,74174200.0,1954.0,7,1
258,000000001003180,2001,41223000.0,74174200.0,1954.0,7,1
259,000000001003180,2002,41223000.0,74174200.0,1954.0,7,1
260,000000001003180,2003,41223000.0,74174200.0,1954.0,7,1
261,000000001003180,2004,41222892.0,74173987.0,1954.0,7,1
262,000000001003180,2005,41222892.0,74173987.0,1954.0,7,1
263,000000001003180,2006,41222892.0,74173987.0,1954.0,7,1
264,000000001003180,2007,41222892.0,74173987.0,1954.0,7,1
265,000000001003180,2008,41222892.0,74173987.0,1954.0,7,1
266,000000001003180,2009,41222892.0,74173987.0,1954.0,7,1
267,000000001003180,2010,41222892.0,74173987.0,1954.0,7,1
268,000000001003180,2011,41222892.0,74173987.0,1954.0,7,1
269,000000001003180,2012,41222892.0,74173987.0,1954.0,7,1
270,000000001003180,2013,41222892.0,74173987.0,1954.0,7,1
271,000000001003180,2014,41222892.0,74173987.0,1954.0,7,1
272,000000001003180,2015,41222892.0,74173987.0,1954.0,7,1
273,000000001003180,2016,41222892.0,74173987.0,1954.0,7,1
274,000000001003180,2017,41222879.0,74174069.0,1954.0,7,1
275,000000001003180,2018,41222879.0,74174069.0,1954.0,7,1
276,000000001003180,2019,41222879.0,74174069.0,1954.0,7,1
277,000000001003180,2020,41222879.0,74174069.0,1954.0,7,1
278,000000001003180,2021,41222879.0,74174069.0,1954.0,7,1
279,000000001003180,2022,41222879.0,74174069.0,1954.0,7,1
280,000000001003180,2023,41222879.0,74174069.0,1954.0,7,1
281,000000001003219,1998,41210000.0,74163600.0,1956.0,8,1
282,000000001003219,1999,41210000.0,74163600.0,1956.0,8,1
283,000000001003219,2000,41210000.0,74163600.0,1956.0,8,1
284,000000001003219,2001,41210000.0,74163600.0,1956.0,8,1
285,000000001003219,2002,41210000.0,74163600.0,1956.0,8,1
286,000000001003219,2003,41210000.0,74163600.0,1956.0,8,1
287,000000001003219,2004,41205968.0,74163255.0,1956.0,8,1
288,000000001003219,2005,41205968.0,74163255.0,1956.0,8,1
289,000000001003219,2006,41205968.0,74163255.0,1956.0,8,1
290,000000001003219,2007,41205968.0,74163255.0,1956.0,8,1
291,000000001003219,2008,41205968.0,74163255.0,1956.0,8,1
292,000000001003219,2009,41205968.0,74163255.0,1956.0,8,1
293,000000001003219,2010,41205968.0,74163255.0,1956.0,7,1
294,000000001003219,2011,41205968.0,74163255.0,1956.0,7,1
295,000000001003219,2012,41205968.0,74163255.0,1956.0,7,1
296,000000001003219,2013,41205968.0,74163255.0,1956.0,7,1
297,000000001003219,2014,41205968.0,74163255.0,1956.0,7,1
298,000000001003219,2015,41205968.0,74163255.0,1956.0,7,1
299,000000001003219,2016,41205968.0,74163255.0,1956.0,7,1
300,000000001003219,2017,41205959.0,74163261.0,1956.0,7,1
301,000000001003219,2018,41205959.0,74163261.0,1956.0,7,1
302,000000001003219,2019,41205959.0,74163261.0,1956.0,7,1
303,000000001003219,2020,41205959.0,74163261.0,1956.0,7,1
304,000000001003219,2021,41205959.0,74163261.0,1956.0,7,1
305,000000001003219,2022,41205959.0,74163261.0,1956.0,7,1
306,000000001003219,2023,41205959.0,74163261.0,1956.0,7,1
307,000000001003270,1992,41204800.0,74120600.0,1956.0,8,1
308,000000001003270,1993,41204800.0,74120600.0,1956.0,8,1
309,000000001003270,1994,41204800.0,74120600.0,1956.0,8,1
310,000000001003270,1995,41204800.0,74120600.0,1956.0,8,1
311,000000001003270,1996,41204800.0,74120600.0,1956.0,8,1
312,000000001003270,1997,41204800.0,74120600.0,1956.0,8,1
313,000000001003270,1998,41204800.0,74120600.0,1956.0,8,1
314,000000001003270,1999,41204800.0,74120600.0,1956.0,8,1
